RED WHITE BLACK BLUE
X:DRAGON GREEN MAGENTA BLUE MAGENTA
X:DRAGON GREEN MAGENTA MAGENTA RED
X:DRAGON RED RED GREEN GREEN
X:FLOWER GREEN WHITE GREEN ORANGE
X:FLOWER BLACK RED ORANGE RED
X:KOI ORANGE BLUE WHITE ORANGE
X:KOI BLACK BLUE WHITE BLUE
X:KOI ORANGE BLUE ORANGE BLUE
X:PANDA MAGENTA RED BLACK BLACK
X:PANDA WHITE ORANGE MAGENTA WHITE
X:PANDA WHITE BLACK WHITE BLACK
GREEN BLUE ORANGE BLUE
RED GREEN WHITE WHITE
MAGENTA BLUE WHITE GREEN
MAGENTA BLUE BLUE BLACK
RED GREEN BLUE MAGENTA
MAGENTA RED ORANGE BLACK
WHITE BLACK ORANGE BLACK
MAGENTA BLACK WHITE ORANGE
RED WHITE BLACK ORANGE
MAGENTA BLUE WHITE GREEN
MAGENTA BLACK ORANGE BLUE
RED ORANGE WHITE GREEN
BLACK WHITE GREEN BLUE
RED BLUE MAGENTA WHITE
MAGENTA ORANGE ORANGE ORANGE
RED WHITE BLACK BLUE
RED BLACK GREEN BLUE
ORANGE GREEN BLUE BLACK
RED RED GREEN BLACK
RED GREEN GREEN GREEN
RED BLACK GREEN MAGENTA
BLACK MAGENTA MAGENTA MAGENTA
RED ORANGE MAGENTA WHITE
RED BLUE WHITE ORANGE
